COUNTY	GLOBAL_ID	FIELD_PT_NAME	LOGDATE	LOGTIME	LOGCODE	SAMPID	MATRIX	LABWO 	LABCODE	LABSAMPID	ANMCODE	LABLOTCTL	ANADATE	BASIS	PARLABEL	PARVAL	PARVQ	LABDL	REPDL	UNITS	DILFAC	LNOTE
Alpine	T0600300005	KMPUD#2	2007-09-14	1200	GECR	KMPUD#2	W	NA	KIFF	58539-08	SW8260B	V940516	2007-09-20	N	XYLENES	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2007-11-20	1200	GECR	KMPUD #2	W	NA	KIFF	59730-09	SW8260B	V849564	2007-11-22	N	ETBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2009-12-17	1320	CLSR	KMPUD #2	W	CSL0794	CLSR	CSL079415	SW8021F	CS09627	2009-12-23	N	BZ	0	ND	.04	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2009-12-17	1320	CLSR	KMPUD #2	W	CSL0794	CLSR	CSL079415	SW8021F	CS09627	2009-12-23	N	XYLENES	0	ND	.11	1	UG/L	1	
Alpine	T0600300005	KMPUD#2	2008-08-19	1010	CLSR	KMPUD Well #2	W	CRH0711	CLSR	CRH071112	M8015	CR06961	2008-08-22	N	PHCD	0	ND	2.1	50	UG/L	1	DU
Alpine	T0600300005	KMPUD#2	2009-10-06	1115	CLSR	KMPUD#2	W	CSJ0234	CLSR	CSJ023402	SW8021F	CS07589	2009-10-07	N	BZ	0	ND	.04	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2009-10-06	1115	CLSR	KMPUD#2	W	CSJ0234	CLSR	CSJ023402	M8015	CS07643	2009-10-09	N	PHCD	0	ND	2.1	50	UG/L	1	DU
Alpine	T0600300005	KMPUD#2	2009-06-23	1400	CLSR	KMPUD #2	W	CSF1019	CLSR	CSF101905	SW8021F	CS04725	2009-06-25	N	BZ	0	ND	.04	.5	UG/L	1	
Alpine	T0600300005	KMPUD#2	2008-06-04	1445	CLSR	KMPUD #2	W	CRF0197	CLSR	CRF019701	M8015	CR04660	2008-06-09	N	MOIL	0	ND	9.1	50	UG/L	1	
Alpine	T0600300005	KMPUD#2	2010-07-16	1500	CLSR	KMPUD #2	W	CTG0669	CLSR	CTG066921	SW8260B	CT05219	2010-07-20	N	EBZ	0	ND	.1	.5	UG/L	1	
Alpine	T0600300005	MW-1	2003-10-22	1200	GECR	MW-1	W	NA	KIFF	35471-12	CATPH-D	S102303W09	2003-10-28	N	PHCD	42000	=	250	250	UG/L	5	
Alpine	T0600300005	MW-1	2004-07-20	1200	GECR	MW-1	W	NA	KIFF	39288-15	SW8260B	V072204W10	2004-07-23	N	PHCG	1500	=	50	50	UG/L	1	
Alpine	T0600300005	MW-1	2004-11-05	1200	GECR	MW-1	W	NA	KIFF	40918-11	CATPH-D	S111004W03	2004-11-13	N	PHCD	77000	=	50	50	UG/L	1	
Alpine	T0600300005	MW-1	2005-06-14	1200	GECR	MW-1	W	NA	KIFF	44341-20	SW8260B	V828301	2005-06-18	N	XYLENES	.98	=	.5	.5	UG/L	1	
Alpine	T0600300005	MW-1	2005-06-14	1200	GECR	MW-1	W	NA	KIFF	44341-20	CATPH-D	S061605W06	2005-06-22	N	PHCD	14000	=	50	50	UG/L	1	
Alpine	T0600300005	MW-1	2005-06-14	1200	GECR	MW-1	W	NA	KIFF	44341-20	CATPH-D	S061605W06	2005-06-22	N	PHCLUB	1400	=	100	100	UG/L	1	
Alpine	T0600300005	MW-1	2005-11-18	1200	GECR	MW-1	W	NA	KIFF	47013-19	CATPH-D	S112105W09	2005-11-29	N	PHCD	43000	=	50	50	UG/L	1	
Alpine	T0600300005	MW-1	2007-09-14	1200	GECR	MW-1	W	NA	KIFF	58539-17	SW8260B	VM44755	2007-09-20	N	PHCG	560	=	50	50	UG/L	1	
Alpine	T0600300005	MW-1	2007-11-20	1145	CLSR	MW-1	W	CQK0687	CLSR	CQK068707	M8015	CQ09681	2007-11-26	N	DIESEL2	48	=	.042	1	MG/L	20	DU
Alpine	T0600300005	MW-1	2009-10-06	1310	CLSR	MW-1	W	CSJ0234	CLSR	CSJ023406	SW8021F	CS07589	2009-10-07	N	GASOLINE	450	=	10	50	UG/L	1	DU
Alpine	T0600300005	MW-1	2010-07-16	1325	CLSR	MW-1	W	CTG0669	CLSR	CTG066920	M8015	CT05359	2010-07-23	N	GASOLINE	190	=	10	50	UG/L	1	DU
